,names,name images
70,KLRahul,https://scores.iplt20.com/ipl/playerimages/KL Rahul.png
71,Mayank Agarwal,https://scores.iplt20.com/ipl/playerimages/Mayank%20Agarwal.png
72,Sarfaraz Khan,https://scores.iplt20.com/ipl/playerimages/Sarfaraz%20Khan.png
73,MShahrukh Khan,https://scores.iplt20.com/ipl/playerimages/MShahrukh%20Khan.png
74,Aiden Markram,https://scores.iplt20.com/ipl/playerimages/Aiden%20Markram.png
75,Moises Henriques,https://scores.iplt20.com/ipl/playerimages/Moises%20Henriques.png
76,Kane Williamson,https://scores.iplt20.com/ipl/playerimages/Kane%20Williamson.png
77,Evin Lewis,https://scores.iplt20.com/ipl/playerimages/Evin%20Lewis.png
78,David Miller,https://scores.iplt20.com/ipl/playerimages/David%20Miller.png
79,Shreyas Gopal,https://scores.iplt20.com/ipl/playerimages/Shreyas%20Gopal.png
80,Kuldip Yadav,https://scores.iplt20.com/ipl/playerimages/Kuldip%20Yadav.png
81,Ravichandran Ashwin,https://scores.iplt20.com/ipl/playerimages/Ravichandran%20Ashwin.png
82,Kagiso Rabada,https://scores.iplt20.com/ipl/playerimages/Kagiso%20Rabada.png
83,Bhuvneshwar Kumar,https://scores.iplt20.com/ipl/playerimages/Bhuvneshwar%20Kumar.png
84,Nicholas Pooran,https://scores.iplt20.com/ipl/playerimages/Nicholas%20Pooran.png
85,Harpreet Brar,https://scores.iplt20.com/ipl/playerimages/Harpreet%20Brar.png
86,Suresh Raina,https://scores.iplt20.com/ipl/playerimages/Suresh%20Raina.png
87,Quintonde Kock,https://scores.iplt20.com/ipl/playerimages/Quintonde%20Kock.png
88,Saurabh Tiwary,https://scores.iplt20.com/ipl/playerimages/Saurabh%20Tiwary.png
89,Jayant Yadav,https://scores.iplt20.com/ipl/playerimages/Jayant%20Yadav.png
90,Steven Smith,https://scores.iplt20.com/ipl/playerimages/Steven%20Smith.png
91,Tim Seifert,https://scores.iplt20.com/ipl/playerimages/Tim%20Seifert.png
92,Deepak Hooda,https://scores.iplt20.com/ipl/playerimages/Deepak%20Hooda.png
93,Fabian Allen,https://scores.iplt20.com/ipl/playerimages/Fabian%20Allen.png
94,Mahipal Lomror,https://scores.iplt20.com/ipl/playerimages/Mahipal%20Lomror.png
95,Riyan Parag,https://scores.iplt20.com/ipl/playerimages/Riyan%20Parag.png
96,Kartik Tyagi,https://scores.iplt20.com/ipl/playerimages/Kartik%20Tyagi.png
97,Mandeep Singh,https://scores.iplt20.com/ipl/playerimages/Mandeep%20Singh.png
98,Chris Gayle,https://scores.iplt20.com/ipl/playerimages/Chris%20Gayle.png
99,Nathan Ellis,https://scores.iplt20.com/ipl/playerimages/Nathan%20Ellis.png
100,Lalit Yadav,https://scores.iplt20.com/ipl/playerimages/Lalit%20Yadav.png
101,Avesh Khan,https://scores.iplt20.com/ipl/playerimages/Avesh%20Khan.png
102,Tim Southee,https://scores.iplt20.com/ipl/playerimages/Tim%20Southee.png
103,Kyle Jamieson,https://scores.iplt20.com/ipl/playerimages/Kyle%20Jamieson.png
104,Adam Milne,https://scores.iplt20.com/ipl/playerimages/Adam%20Milne.png
105,Rahul Chahar,https://scores.iplt20.com/ipl/playerimages/Rahul%20Chahar.png
106,Andre Russell,https://scores.iplt20.com/ipl/playerimages/Andre%20Russell.png
107,Sam Curran,https://scores.iplt20.com/ipl/playerimages/Sam%20Curran.png
108,Deepak Chahar,https://scores.iplt20.com/ipl/playerimages/Deepak%20Chahar.png
109,Mohammed Shami,https://scores.iplt20.com/ipl/playerimages/Mohammed%20Shami.png
110,David Warner,https://scores.iplt20.com/ipl/playerimages/David%20Warner.png
111,Kedar Jadhav,https://scores.iplt20.com/ipl/playerimages/Kedar%20Jadhav.png
112,Tabraiz Shamsi,https://scores.iplt20.com/ipl/playerimages/Tabraiz%20Shamsi.png
113,Tim David,https://scores.iplt20.com/ipl/playerimages/Tim%20David.png
114,Wanindu Hasaranga,https://scores.iplt20.com/ipl/playerimages/Wanindu%20Hasaranga.png
115,Sandeep Sharma,https://scores.iplt20.com/ipl/playerimages/Sandeep%20Sharma.png
116,Sachin Baby,https://scores.iplt20.com/ipl/playerimages/Sachin%20Baby.png
117,Mohammed Siraj,https://scores.iplt20.com/ipl/playerimages/Mohammed%20Siraj.png
118,Yuzvendra Chahal,https://scores.iplt20.com/ipl/playerimages/Yuzvendra%20Chahal.png
119,Anmolpreet Singh,https://scores.iplt20.com/ipl/playerimages/Anmolpreet%20Singh.png
120,Prabhsimran Singh,https://scores.iplt20.com/ipl/playerimages/Prabhsimran%20Singh.png
121,Dawid Malan,https://scores.iplt20.com/ipl/playerimages/Dawid%20Malan.png
122,Chris Jordan,https://scores.iplt20.com/ipl/playerimages/Chris%20Jordan.png
123,Jos Buttler,https://scores.iplt20.com/ipl/playerimages/Jos%20Buttler.png
124,Jonny Bairstow,https://scores.iplt20.com/ipl/playerimages/Jonny%20Bairstow.png
125,Vijay Shankar,https://scores.iplt20.com/ipl/playerimages/Vijay%20Shankar.png
126,Dhawal Kulkarni,https://scores.iplt20.com/ipl/playerimages/Dhawal%20Kulkarni.png
127,Rajat Patidar,https://scores.iplt20.com/ipl/playerimages/Rajat%20Patidar.png
128,Daniel Sams,https://scores.iplt20.com/ipl/playerimages/Daniel%20Sams.png
129,Pat Cummins,https://scores.iplt20.com/ipl/playerimages/Pat%20Cummins.png
130,Washington Sundar,https://scores.iplt20.com/ipl/playerimages/Washington%20Sundar.png
131,Ravi Bishnoi,https://scores.iplt20.com/ipl/playerimages/Ravi%20Bishnoi.png
