District,Month,Visitors,
Nagarkurnool,July,116400,
Nagarkurnool,August,126500,
Nagarkurnool,September,124000,
Nagarkurnool,October,136400,
Nagarkurnool,November,139250,
Nagarkurnool,December,140000,
Nalgonda & Suryapet,January,18165,
Nalgonda & Suryapet,February,12694,
Nalgonda & Suryapet,March,11565,
Nalgonda & Suryapet,April,8922,
Nalgonda & Suryapet,May,12508,
Nalgonda & Suryapet,June,17231,
Nalgonda & Suryapet,July,21554,
Nalgonda & Suryapet,August,30041,
Nalgonda & Suryapet,September,22875,
Nalgonda & Suryapet,October,31877,
Nalgonda & Suryapet,November,17501,
Nalgonda & Suryapet,December,20344,
Narayanapet,January,23800,
Narayanapet,February,99700,
Narayanapet,March,130000,
Narayanapet,April,170500,
Narayanapet,May,15600,
Narayanapet,June,11200,
Narayanapet,July,12400,
Narayanapet,August,11900,
Narayanapet,September,10800,
Narayanapet,October,9400,
Narayanapet,November,11150,
Narayanapet,December,15750,
Nirmal,January,230377,
Nirmal,February,278184,
Nirmal,March,334135,
Nirmal,April,275087,
Nirmal,May,302772,
Nirmal,June,389714,
Nirmal,July,333767,
Nirmal,August,344930,
Nirmal,September,318387,
Nirmal,October,325830,
Nirmal,November,408666,
Nirmal,December,363179,
Nizamabad,January,12881,
Nizamabad,February,75753,
Nizamabad,March,106250,
Nizamabad,April,10875,
Nizamabad,May,17259,
Nizamabad,June,16640,
Nizamabad,July,11758,
Nizamabad,August,19056,
Nizamabad,September,16124,
Nizamabad,October,28465,
Nizamabad,November,43667,
Nizamabad,December,38483,
Peddapalli,January,1635,
Peddapalli,February,1675,
Peddapalli,March,478,
Peddapalli,April,516,
Peddapalli,May,1750,
Peddapalli,June,620,
Peddapalli,July,1550,
Peddapalli,August,750,
Peddapalli,September,765,
Peddapalli,October,1835,
Peddapalli,November,2185,
Peddapalli,December,920,
RajannaSircilla,January,685642,
RajannaSircilla,February,622385,
RajannaSircilla,March,544400,
RajannaSircilla,April,472924,
RajannaSircilla,May,559320,
RajannaSircilla,June,538663,
RajannaSircilla,July,217276,
RajannaSircilla,August,476608,
RajannaSircilla,September,285048,
RajannaSircilla,October,316687,
RajannaSircilla,November,390875,
RajannaSircilla,December,394472,
Sangareddy,January,115988,
Sangareddy,February,130632,
Sangareddy,March,417000,
Sangareddy,April,72000,
Sangareddy,May,82500,
Sangareddy,June,81000,
Sangareddy,July,85000,
Sangareddy,August,160000,
Sangareddy,September,129000,
Sangareddy,October,151000,
Sangareddy,November,180205,
Sangareddy,December,160854,
Siddipet,January,161000,
Siddipet,February,222250,
Siddipet,March,108750,
Siddipet,April,114311,
Siddipet,May,144239,
Siddipet,June,104583,
Siddipet,July,59832,
Siddipet,August,106635,
Siddipet,September,67500,
Siddipet,October,78009,
Siddipet,November,136709,
Siddipet,December,113370,
Wanaparthy,January,30000,
Wanaparthy,February,19000,
Wanaparthy,March,21000,
Wanaparthy,April,22250,
Wanaparthy,May,17000,
Wanaparthy,June,12200,
Wanaparthy,July,13200,
Wanaparthy,August,15700,
Wanaparthy,September,13000,
Wanaparthy,October,12000,
Wanaparthy,November,12600,
Wanaparthy,December,12000,
Warangal,January,5810,
Warangal,February,5543,
Warangal,March,5650,
Warangal,April,6626,
Warangal,May,6500,
Warangal,June,6459,
Warangal,July,7285,
Warangal,August,15724,
Warangal,September,14681,
Warangal,October,14476,
Warangal,November,14631,
Warangal,December,14550,
YadadriBhongir,January,550000,
YadadriBhongir,February,500000,
YadadriBhongir,March,600000,
YadadriBhongir,April,651276,
YadadriBhongir,May,801312,
YadadriBhongir,June,762672,
YadadriBhongir,July,370064,
YadadriBhongir,August,597045,
YadadriBhongir,September,328666,
YadadriBhongir,October,640912,
YadadriBhongir,November,751364,
YadadriBhongir,December,1012272,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
