District,Month,Visitors
Narayanapet,January,10450
Narayanapet,February,17350
Narayanapet,March,12800
Narayanapet,April,53800
Narayanapet,May,4600
Narayanapet,June,3100
Narayanapet,July,1550
Narayanapet,August,1730
Narayanapet,September,3650
Narayanapet,October,960
Narayanapet,November,1050
Narayanapet,December,1560
Medak,January,100938
Medak,February,936994
Medak,March,57188
Medak,April,67225
Medak,May,54588
Medak,June,47671
Medak,July,43792
Medak,August,35203
Medak,September,23004
Medak,October,108978
Medak,November,44914
Medak,December,70811
Sangareddy,January,121240
Sangareddy,February,965600
Sangareddy,March,166000
Sangareddy,April,66000
Sangareddy,May,98500
Sangareddy,June,73000
Sangareddy,July,70000
Sangareddy,August,161400
Sangareddy,September,334865
Sangareddy,October,176166
Sangareddy,November,285725
Sangareddy,December,246834
Siddipet,January,280919
Siddipet,February,96013
Siddipet,March,162100
Siddipet,April,150672
Siddipet,May,178186
Siddipet,June,150924
Siddipet,July,420926
Siddipet,August,145257
Siddipet,September,164346
Siddipet,October,265054
Siddipet,November,871162
Siddipet,December,1063109
Nalgonda & Suryapet,January,20347
Nalgonda & Suryapet,February,27631
Nalgonda & Suryapet,March,13608
Nalgonda & Suryapet,April,12416
Nalgonda & Suryapet,May,14512
Nalgonda & Suryapet,June,13931
Nalgonda & Suryapet,July,14771
Nalgonda & Suryapet,August,12769
Nalgonda & Suryapet,September,12764
Nalgonda & Suryapet,October,18622
Nalgonda & Suryapet,November,18648
Nalgonda & Suryapet,December,271997
Yadadri Bhongir,January,555616
Yadadri Bhongir,February,348130
Yadadri Bhongir,March,549974
Yadadri Bhongir,April,496474
Yadadri Bhongir,May,766175
Yadadri Bhongir,June,834264
Yadadri Bhongir,July,794528
Yadadri Bhongir,August,822416
Yadadri Bhongir,September,656397
Yadadri Bhongir,October,650163
Yadadri Bhongir,November,626666
Yadadri Bhongir,December,1238000
Nizamabad,January,30502
Nizamabad,February,258940
Nizamabad,March,94964
Nizamabad,April,16167
Nizamabad,May,20511
Nizamabad,June,22160
Nizamabad,July,26051
Nizamabad,August,35232
Nizamabad,September,30863
Nizamabad,October,17749
Nizamabad,November,51367
Nizamabad,December,90230
Kamareddy,January,40
Kamareddy,February,45
Kamareddy,March,46
Kamareddy,April,56
Kamareddy,May,52
Kamareddy,June,65
Kamareddy,July,40
Kamareddy,August,50
Kamareddy,September,43
Kamareddy,October,48
Kamareddy,November,53
Kamareddy,December,52
Hanumakonda,January,37595
Hanumakonda,February,39412
Hanumakonda,March,36329
Hanumakonda,April,41475
Hanumakonda,May,42765
Hanumakonda,June,39677
Hanumakonda,July,39620
Hanumakonda,August,35084
Hanumakonda,September,34374
Hanumakonda,October,35331
Hanumakonda,November,35790
Hanumakonda,December,34552
Warangal,January,14883
Warangal,February,14938
Warangal,March,15391
Warangal,April,16545
Warangal,May,17360
Warangal,June,14399
Warangal,July,15355
Warangal,August,16108
Warangal,September,16548
Warangal,October,16280
Warangal,November,17494
Warangal,December,16019
Jangann,January,5305
Jangann,February,4995
Jangann,March,4940
Jangann,April,4820
Jangann,May,5035
Jangann,June,4970
Jangann,July,4780
Jangann,August,5765
Jangann,September,5410
Jangann,October,5720
Jangann,November,5305
Jangann,December,5310
Jayashankar Bhoopalpally,January,13606
Jayashankar Bhoopalpally,February,12799
Jayashankar Bhoopalpally,March,12252
Jayashankar Bhoopalpally,April,15836
Jayashankar Bhoopalpally,May,16585
Jayashankar Bhoopalpally,June,13350
Jayashankar Bhoopalpally,July,10994
Jayashankar Bhoopalpally,August,14341
Jayashankar Bhoopalpally,September,15010
Jayashankar Bhoopalpally,October,13896
Jayashankar Bhoopalpally,November,15913
Jayashankar Bhoopalpally,December,15434
Mahabubabad,January,2930
Mahabubabad,February,2420
Mahabubabad,March,2475
Mahabubabad,April,2705
Mahabubabad,May,2660
Mahabubabad,June,2560
Mahabubabad,July,2230
Mahabubabad,August,3565
Mahabubabad,September,3355
Mahabubabad,October,2560
Mahabubabad,November,3875
Mahabubabad,December,3460
Mulugu,January,48377
Mulugu,February,48353
Mulugu,March,48804
Mulugu,April,50129
Mulugu,May,51640
Mulugu,June,47359
Mulugu,July,61688
Mulugu,August,50448
Mulugu,September,51635
Mulugu,October,50995
Mulugu,November,52285
Mulugu,December,71071
