District,Month,Visitors,,,,,,,,,,,
Karimnagar,December,3750,,,,,,,,,,,
Khammam,January,81711,,,,,,,,,,,
Khammam,February,59065,,,,,,,,,,,
Khammam,March,47862,,,,,,,,,,,
Khammam,April,30882,,,,,,,,,,,
Khammam,May,11240,,,,,,,,,,,
Khammam,June,12443,,,,,,,,,,,
Khammam,July,19400,,,,,,,,,,,
Khammam,August,18781,,,,,,,,,,,
Khammam,September,29256,,,,,,,,,,,
Khammam,October,36965,,,,,,,,,,,
Khammam,November,45533,,,,,,,,,,,
Khammam,December,53316,,,,,,,,,,,
KommramBheentAsifabad,January,410,,,,,,,,,,,
KommramBheentAsifabad,February,466,,,,,,,,,,,
KommramBheentAsifabad,March,491,,,,,,,,,,,
KommramBheentAsifabad,April,349,,,,,,,,,,,
KommramBheentAsifabad,May,88,,,,,,,,,,,
KommramBheentAsifabad,June,128,,,,,,,,,,,
KommramBheentAsifabad,July,154,,,,,,,,,,,
KommramBheentAsifabad,August,175,,,,,,,,,,,
KommramBheentAsifabad,September,176,,,,,,,,,,,
KommramBheentAsifabad,October,21030,,,,,,,,,,,
KommramBheentAsifabad,November,371,,,,,,,,,,,
KommramBheentAsifabad,December,587,,,,,,,,,,,
Mahabubabad,January,3060,,,,,,,,,,,
Mahabubabad,February,3155,,,,,,,,,,,
Mahabubabad,March,3320,,,,,,,,,,,
Mahabubabad,April,3240,,,,,,,,,,,
Mahabubabad,May,940,,,,,,,,,,,
Mahabubabad,June,880,,,,,,,,,,,
Mahabubabad,July,1970,,,,,,,,,,,
Mahabubabad,August,3480,,,,,,,,,,,
Mahabubabad,September,3420,,,,,,,,,,,
Mahabubabad,October,3505,,,,,,,,,,,
Mahabubabad,November,3470,,,,,,,,,,,
Mahabubabad,December,3480,,,,,,,,,,,
Mahbubnagar,January,112443,,,,,,,,,,,
Mahbubnagar,February,653029,,,,,,,,,,,
Mahbubnagar,March,375235,,,,,,,,,,,
Mahbubnagar,April,270751,,,,,,,,,,,
Mahbubnagar,May,5264,,,,,,,,,,,
Mahbubnagar,June,32923,,,,,,,,,,,
Mahbubnagar,July,300593,,,,,,,,,,,
Mahbubnagar,August,299804,,,,,,,,,,,
Mahbubnagar,September,250520,,,,,,,,,,,
Mahbubnagar,October,208937,,,,,,,,,,,
Mahbubnagar,November,675277,,,,,,,,,,,
Mahbubnagar,December,205813,,,,,,,,,,,
Mancherial,January,14998,,,,,,,,,,,
Mancherial,February,12438,,,,,,,,,,,
Mancherial,March,7304,,,,,,,,,,,
Mancherial,April,6000,,,,,,,,,,,
Mancherial,May,1466,,,,,,,,,,,
Mancherial,June,1503,,,,,,,,,,,
Mancherial,July,4134,,,,,,,,,,,
Mancherial,August,7294,,,,,,,,,,,
Mancherial,September,5668,,,,,,,,,,,
Mancherial,October,5130,,,,,,,,,,,
Mancherial,November,5988,,,,,,,,,,,
Mancherial,December,9372,,,,,,,,,,,
Medak,January,48000,,,,,,,,,,,
Medak,February,44000,,,,,,,,,,,
Medak,March,49000,,,,,,,,,,,
Medak,April,39000,,,,,,,,,,,
Medak,May,4000,,,,,,,,,,,
Medak,June,15000,,,,,,,,,,,
Medak,July,16000,,,,,,,,,,,
Medak,August,33500,,,,,,,,,,,
Medak,September,15500,,,,,,,,,,,
Medak,October,17500,,,,,,,,,,,
Medak,November,20000,,,,,,,,,,,
Medak,December,16350,,,,,,,,,,,
Mulugu,January,61800,,,,,,,,,,,
Mulugu,February,62400,,,,,,,,,,,
Mulugu,March,65550,,,,,,,,,,,
Mulugu,April,65650,,,,,,,,,,,
Mulugu,May,19850,,,,,,,,,,,
Mulugu,June,19850,,,,,,,,,,,
Mulugu,July,36800,,,,,,,,,,,
Mulugu,August,44050,,,,,,,,,,,
Mulugu,September,47055,,,,,,,,,,,
Mulugu,October,41000,,,,,,,,,,,
Mulugu,November,51060,,,,,,,,,,,
Mulugu,December,45550,,,,,,,,,,,
Nagarkurnool,January,88188,,,,,,,,,,,
Nagarkurnool,February,84801,,,,,,,,,,,
Nagarkurnool,March,82629,,,,,,,,,,,
